ref_key,reference,feedstock,feedstock_type,cao_wt_pct,cao_basis,co2_uptake_kg_per_kg,uptake_basis,process,product_use,replacement_pct,technology,condition,raw_material,cement_replacement,product_use_t1,uptake_shown,carbonation_time,agent,ref_no,table1_order,theoretical_uptake_override,theoretical_uptake_kg_per_kg,apparent_CE_pct,apparent_CE_pct_lo,apparent_CE_pct_hi
ho2020,"Ho et al. 2020, ACS Omega 5:15877","synthesized concrete fines (hydrated OPC paste, w/c 0.55)",lab paste,53,typical hydrated OPC paste (dry basis),0.19,new CO2 (TGA vs raw),"direct aqueous, ambient, 14% CO2",CO2 storage / filler,,Direct carbonation,Aqueous,RCF (synthesized concrete fines),,,0.19,minutes,none,16,5,,0.416,45.7,45.68087012814412,45.68087012814412
ho2021,"Ho et al. 2021, J. Clean. Prod. 312:127832",concrete fines from aggregate-recycling plant (<212 um),real RCF,54,typical demolition fines; no XRF,0.12,new CO2 (max of 40-120 g/kg),"direct aqueous, ambient",CO2 storage / filler,,Direct carbonation,Aqueous,RCF (aggregate-recycling plant),,,0.12,,none,14,10,,0.424,28.3,28.316796687621498,28.316796687621498
shah2024,"Shah 2024, CEMENT 15:100091","hydrated Portland cement paste, 90 d cured",lab paste,64,typical hydrated PC paste,0.225,new CO2 (0.20-0.25),aqueous carbonation,SCM,20-30,Direct carbonation,Aqueous,RCF (hydrated cement paste),30 %,Mortar,0.20-0.25,6 h,none,17,6,,0.502,44.8,44.7980572597137,44.7980572597137
winnefeld2024,"Winnefeld et al. 2024, J. Adv. Concr. Technol. 22:485",concrete slurry waste (ready-mix wash sludge),slurry waste,63,typical CSW,0.12,new CO2,aqueous carbonation,SCM,,Direct carbonation,Aqueous,Concrete slurry waste,30 %,Mortar,0.12,1.5 h,none,21,7,,0.494,24.3,24.271540017961286,24.271540017961286
shen2021,"Shen et al. 2021, Cem. Concr. Res. 147:106526",recycled cement fines (laboratory paste),lab paste,63.0,lower bound inferred from 1.13 g CaCO3 per g RCF reported in the paper,0.27,total carbonate,"two-step wet, NaOH-assisted",nano-silica + CaCO3,,Indirect carbonation,Aqueous,RCF (laboratory paste),,nano-silica + CaCO3,0.27,,NaOH,18,11,,0.494,54.6,54.6109650404129,54.6109650404129
kravchenko2024,"Kravchenko et al. 2024, J. Environ. Manage. 352:119947","waste concrete powder (C&D, Hong Kong)",real RCF,,not reported in the paper,0.04,new CO2 (carbonation curing 8 h),carbonation curing of compacts,compacts,,Direct carbonation,Dry,RCF (waste concrete powder),20 %,Concrete,0.040,8 h,none,15,3,,NA,NA,,
siriruang2016,"Siriruang et al. 2016, J. Environ. Manage. 170:70",lignite fly ash,fly ash,16-25,typical Mae Moh fly ash (range),0.038,new CO2,aqueous carbonation,SCM,,Direct carbonation,Dry,Lignite fly ash,20-40 %,Mortar,0.038,1 h,none,51,2,,0.126-0.196,19.4-30.3,19.368688934333104,30.263576459895475
cunningham2025,"Cunningham et al. 2025, Biomass Bioenergy 197",biomass ash,biomass ash,5,"XRF (oxides), WS500-M-NT; theoretical uptake 0.241 kg kg-1 as given by the authors' revision",0.0121,new CO2,aqueous carbonation,SCM,,Direct carbonation,Semi-dry,Biomass ash,"5 %, 15 %",Mortar,0.012,144 h,none,20,4,0.241,0.241,5.02,5.020746887966805,5.020746887966805
pei2018,"Pei et al. 2018, J. Clean. Prod. 180:689",petroleum coke fly ash,petcoke ash,45,typical CFB petcoke ash,0.085,new CO2,aqueous carbonation,filler,,Direct carbonation,Aqueous,Petroleum coke fly ash,5 %,Mortar,0.085,,none,52,8,,0.353,24.1,24.069277184478278,24.069277184478278
chen2016,"Chen et al. 2016, J. Clean. Prod. 124:350",BOF steel slag,steel slag,43,typical BOF slag,0.2,new CO2,high-gravity rotating packed bed,SCM,,Direct carbonation,"Aqueous, high-gravity",Basic oxygen furnace slag,10 %,Mortar,0.20,3 h,none,53,9,,0.337,59.3,59.26771399734732,59.26771399734732
biocarb_lab,"this work, laboratory",hydrated OPC paste (simulated RCF),lab paste,57.83,"XRF, Table S1",0.288,new CO2 (0.365 total carbonate incl. 0.075 pre-existing),"TA-assisted aqueous, ambient, 60 min",SCM,30,BioCarb (this study),Aqueous,Simulated RCF (hydrated OPC paste),30 %,Mortar,0.365 total (0.288 newly fixed),1 h,Tannic acid,this study,1,,0.454,63.5,63.45939565477686,63.45939565477686
biocarb_field,"this work, model base case",field RCF (assumed),real RCF,30.0,assumed (Table S5),0.149,new CO2 (Eq. S1),"TA-assisted aqueous, ambient",SCM,30,BioCarb (model base case),Aqueous,"Field RCF (assumed, 30 wt % CaO)",30 %,Mortar,0.149 newly fixed,1 h,Tannic acid,this study,12,,0.235,63.3,63.28804059683405,63.28804059683405
