technology,category,perspective,fig8,low_usd_per_t,high_usd_per_t,point_usd_per_t,as_published,currency_year,to_usd2024_factor,basis,source,verify
"GGBS, 50 % of cement",clinker substitution,concrete producer,point,-11,-11,-11,"CO2e 407 -> 232 kg/m3 (Table 3); producer net benefit +5,304,758 USD over 2022-2050 for a 100,000 m3/yr plant (Table 5)",USD 2022,1.072,"derived: benefit change / CO2e saved = 5.30 M USD / (175 kg/m3 x 2.9 M m3) = -10.5 USD/t; straight (undiscounted) reading of the 29-year totals","SDSN and Saoradh Enterprise Partners 2022, LCA and Cost-Benefit Analysis for Low Carbon Concrete and Cement Mix Designs","derived value; if the report's totals are discounted the saving per tonne is larger"
"LC3, 40 % clinker reduction",clinker substitution,concrete producer,point,-39,-39,-39,"CO2e 407 -> 255 kg/m3; net benefit +15,890,754 USD (2022-2050)",USD 2022,1.072,"derived: 15.89 M USD / (152 kg/m3 x 2.9 M m3) = -36.0 USD/t","SDSN and Saoradh 2022",derived value
"Fly ash, 30 % of cement",clinker substitution,concrete producer,point,-18,-18,-18,"CO2e 407 -> 295 kg/m3; net benefit +5,355,519 USD (2022-2050)",USD 2022,1.072,"derived: 5.36 M USD / (112 kg/m3 x 2.9 M m3) = -16.5 USD/t; SCM priced close to cement (implied spread ~20 USD/t)","SDSN and Saoradh 2022",derived value
"Portland-limestone cement (Type IL)",clinker substitution,concrete producer,point,-22,-22,-22,"CO2e 407 -> 369 kg/m3; net benefit +2,235,879 USD (2022-2050)",USD 2022,1.072,"derived: 2.24 M USD / (38 kg/m3 x 2.9 M m3) = -20.3 USD/t","SDSN and Saoradh 2022",derived value
"Kiln CO2 capture and storage (oxyfuel to post-combustion amine)",kiln CO2 capture and storage,cement buyer (full pass-through),band,50,240,150,"McKinsey 2020 Exhibit 4: oxyfuel +42 to +49, post-combustion +89 to +198 $/tCO2 incl. storage; DOE 2023: 35-75 $/t with the 85 $/t 45Q credit (120-160 before credit); CEMCAP: 42-84 EUR/t capture only",USD 2020 / 2023 / EUR 2014,"1.212 / 1.03 / 1.76","cement-producer cost per t avoided, which equals the buyer's premium per t avoided if fully passed through; range spans oxyfuel (low) to post-combustion (high) with transport and storage","McKinsey 2020 (Exhibit 4); DOE Liftoff Low-Carbon Cement 2023; Gardarsdottir et al. 2019, Energies 12, 542","McKinsey values read from chart (+/-3); cost years assumed [VERIFY]"
Fly ash blended cement,clinker substitution,cement producer,table,-31,-26,-28,"(25-30) $/tCO2 savings; (5-10) $/t cement",USD 2023,1.03,"clinker production cost basis (~$60-70/t); 30-50 % replacement",DOE Liftoff Low-Carbon Cement 2023 (lever table as reproduced in DOE ITIAC slides March 2024),"dollar year assumed 2023 [VERIFY]"
Steel slag blended cement,clinker substitution,cement producer,table,-21,-15,-18,"(15-20) $/tCO2 savings; (5-10) $/t cement",USD 2023,1.03,"30-50 % replacement",DOE Liftoff 2023,"dollar year assumed 2023 [VERIFY]"
Portland-limestone cement,clinker substitution,cement producer,table,-82,-77,-80,"(75-80) $/tCO2 savings; (5-10) $/t cement",USD 2023,1.03,"5-10 % clinker reduction",DOE Liftoff 2023,"dollar year assumed 2023 [VERIFY]"
Natural pozzolan blended cement,clinker substitution,cement producer,table,-77,-72,-75,"(70-75) $/tCO2 savings; (15-20) $/t cement",USD 2023,1.03,"30-50 % replacement",DOE Liftoff 2023,"dollar year assumed 2023 [VERIFY]"
LC3 (limestone calcined clay) blend,clinker substitution,cement producer,table,-72,-62,-67,"(60-70) $/tCO2 savings; (15-25) $/t cement",USD 2023,1.03,"30-50 % replacement",DOE Liftoff 2023,"dollar year assumed 2023 [VERIFY]"
"Fly ash, limestone, kaolin and other pozzolans",clinker substitution,cement producer,table,-41,-15,-28,"-34 to -12 $/tCO2 (read from Exhibit 4, +/-3)",USD 2020,1.212,"globally assumed cost, can vary locally","McKinsey 2020, Laying the foundation for zero-carbon cement, Exhibit 4","values read from chart; dollar year assumed 2020 [VERIFY]"
Granulated slag,clinker substitution,cement producer,table,-15,-7,-11,"-12 to -6 $/tCO2 (read from Exhibit 4, +/-3)",USD 2020,1.212,"globally assumed cost","McKinsey 2020, Exhibit 4","values read from chart [VERIFY]"
